,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,renovated_yrs_ago,log_price
70,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,105,2200,4500,54,62,2.0,2.0,76980,105,13.653967622617454
71,555000,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,86,1610,3478,81,48,2.0,2.0,85595,86,13.226723392728571
74,460000,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,76,1240,4005,85,53,2.0,2.0,90789,76,13.038981768465275
76,570000,3,1.75,1260,3328,1.0,0,0,5,6,700,560,110,1380,3536,85,50,1.0,1.0,90568,110,13.253391639810731
79,740500,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,115,1830,6350,82,52,2.0,2.0,62786,16,13.51508091268999
80,518500,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,5,1620,3166,85,51,2.0,2.0,90568,5,13.15869530665172
81,205425,2,1.0,880,6780,1.0,0,0,4,6,880,0,70,1190,6780,30,44,1.0,1.0,71524,70,12.232836282799386
83,535000,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,90,1610,4040,55,63,2.0,2.0,81676,90,13.190022025878145
85,395000,2,1.0,770,6000,1.0,0,0,3,6,770,0,62,1710,6000,78,54,2.0,2.0,62786,62,12.886641043883259
86,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,91,1850,4400,81,48,4.0,4.0,38846,91,13.005829561148376
91,822500,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,89,1700,4960,83,47,2.0,2.0,81563,89,13.620103761621664
95,675000,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,10,1540,2285,89,53,2.0,2.0,85595,10,13.422467969854667
98,382500,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,34,1060,5715,40,53,3.0,3.0,87222,34,12.854483932248726
99,519950,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,1,1350,1310,93,54,2.0,2.0,72396,1,13.161487932088379
101,420000,3,1.0,1060,8097,1.0,0,0,4,7,940,120,92,1560,7940,48,52,3.0,3.0,62726,92,12.948009990259552
103,890000,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,110,2200,4000,90,65,2.0,2.0,98750,110,13.698976741708323
106,532170,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,25,1500,3090,92,50,1.0,1.0,90568,25,13.184718266151096
108,350000,1,1.0,700,5100,1.0,0,0,3,7,700,0,73,1010,5100,66,55,2.0,2.0,96310,73,12.765688433465595
121,425000,3,2.5,1120,1100,2.0,0,0,3,8,820,300,7,1590,1795,93,71,3.0,3.0,57786,7,12.959844447906553
122,399950,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,29,1280,2150,76,71,3.0,3.0,47737,29,12.899094818276966
123,385000,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,114,1200,4800,87,68,3.0,3.0,56700,114,12.86099861326992
125,470000,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,90,1410,5375,70,48,1.0,1.0,48036,90,13.06048797368624
129,615000,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,114,1330,4400,89,60,2.0,2.0,84728,114,13.329377546788654
130,585188,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,40,2230,9340,25,41,2.0,2.0,104072,40,13.27968844210788
140,470000,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,63,1680,5000,72,47,2.0,2.0,79681,63,13.06048797368624
144,425000,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,100,1290,5000,65,50,1.0,1.0,71705,100,12.959844447906553
145,464000,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,95,1560,1312,81,59,3.0,3.0,56744,21,13.047639831208393
149,477000,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,37,2130,8700,56,51,2.0,2.0,61901,37,13.075271769870474
150,1072000,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,68,2580,5184,50,59,3.0,3.0,81676,68,13.885036620612887
152,390000,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,73,1280,7392,57,51,2.0,2.0,83421,73,12.873902018105829
160,410000,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,111,1510,4740,87,66,3.0,3.0,57786,10,12.923912438680489
163,210000,2,1.0,830,6000,1.0,0,0,3,6,830,0,75,830,4960,57,48,2.0,2.0,75123,75,12.254862809699604
164,455000,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,90,1450,3750,74,57,1.0,1.0,64797,90,13.028052697933088
166,480000,2,1.0,1030,3060,1.0,0,2,4,7,790,240,97,1390,3060,84,46,1.0,1.0,81563,97,13.081541382884073
168,181000,2,1.5,720,5120,1.0,0,0,3,6,720,0,61,1150,2566,85,56,4.0,4.0,47701,61,12.106252310247962
169,481000,3,1.75,1560,3000,1.0,0,0,4,6,770,790,97,1390,3000,83,52,2.0,2.0,90568,97,13.0836225490879
172,349500,3,1.0,1400,3538,1.0,0,0,3,7,800,600,62,1620,6331,61,59,4.0,4.0,61901,62,12.764258840656002
174,592500,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,87,1420,6816,66,62,1.0,1.0,61391,87,13.292106151991426
175,385000,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,60,1910,7620,43,44,3.0,3.0,47363,60,12.86099861326992
178,780000,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,104,1660,4400,57,60,2.0,2.0,131429,104,13.567049198665776
180,425000,2,1.0,770,5040,1.0,0,0,3,5,770,0,85,1330,2580,80,61,2.0,2.0,79953,85,12.959844447906553
182,285000,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,61,1130,6350,29,41,2.0,2.0,74107,61,12.560244459250786
183,415000,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,78,1320,4465,77,49,2.0,2.0,110458,78,12.936033799212835
185,436000,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,76,1440,7530,55,53,2.0,2.0,72428,76,12.985397522331171
187,236000,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,54,1320,7619,42,47,2.0,2.0,71524,54,12.371587084007745
188,331000,3,1.75,1080,1306,1.0,0,0,3,7,580,500,61,1440,2225,63,42,2.0,2.0,90951,12,12.7098736543592
189,365000,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,9,2653,4927,3,11,2.0,2.0,83750,9,12.807652632564631
192,405000,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,107,2020,6000,62,56,4.0,4.0,61901,107,12.911642346088676
201,550000,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,86,2390,4166,61,55,1.0,1.0,67277,86,13.217673557208656
204,404000,3,1.5,2030,8880,1.0,0,0,3,7,1330,700,52,2140,5592,60,52,3.0,3.0,79432,52,12.909170156943285
206,576000,3,2.5,1940,9000,1.0,0,0,4,7,970,970,67,2190,7310,48,46,1.0,1.0,95927,67,13.263862939678027
208,725000,3,1.75,1920,3300,1.0,0,0,4,8,960,960,102,1740,4000,79,57,2.0,2.0,104632,102,13.493926933836812
209,550700,2,1.0,1010,5000,1.5,0,0,4,6,1010,0,107,1460,5000,87,63,1.0,1.0,64797,107,13.218945475250573
215,548000,2,1.0,1470,3864,1.0,0,0,4,7,1170,300,99,1570,3864,82,59,3.0,3.0,65625,99,13.214030565930152
221,740000,4,2.0,2050,4400,1.5,0,0,4,9,2050,0,93,2320,5500,79,67,3.0,3.0,76980,93,13.514405465180351
223,880000,4,3.5,2800,6750,2.0,0,0,3,9,1890,910,64,2370,6120,69,55,1.0,1.0,110091,13,13.687677186454387
224,640000,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,91,1710,5000,81,61,2.0,2.0,113906,91,13.369223455335856
225,940000,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,47,2770,9525,16,22,2.0,2.0,167361,47,13.753635154246187
227,791500,4,2.0,1510,3500,1.5,0,0,5,7,1510,0,104,1820,3750,87,45,1.0,1.0,103750,104,13.581685158303205
229,425000,3,1.75,2500,6840,1.0,0,0,3,8,1300,1200,58,1580,8691,62,49,3.0,3.0,56208,58,12.959844447906553
234,437500,2,1.0,990,3120,1.0,0,2,5,7,790,200,108,1930,3120,89,48,1.0,1.0,90568,108,12.988831984779804
236,375000,4,1.75,2200,7475,1.0,0,0,5,7,1100,1100,60,1600,5766,80,65,3.0,3.0,52412,60,12.834681304952548
238,679900,3,2.5,2440,5750,2.0,0,2,3,9,1980,460,15,1520,5750,89,54,2.0,2.0,71705,15,13.42970100751455
247,450000,3,1.75,1640,13500,1.0,0,0,3,7,1110,530,75,1770,12600,70,59,2.0,2.0,51741,75,13.017002861746507
257,345000,4,1.0,1550,7620,1.5,0,0,3,7,1550,0,58,1450,7620,52,47,3.0,3.0,47363,58,12.751299696013493
263,378750,3,2.5,2160,3000,1.5,0,0,3,7,1260,900,106,1060,3500,84,62,4.0,4.0,59275,4,12.844631635805714
264,557000,3,3.5,1710,2096,2.0,0,0,3,8,1290,420,7,1630,1543,84,73,4.0,4.0,56700,7,13.230320518909421
265,360000,4,1.75,3730,16980,1.0,0,0,4,7,2150,1580,41,1880,16963,19,73,4.0,4.0,48385,41,12.793859310432293
266,352000,2,1.0,940,5000,1.0,0,0,4,7,940,0,78,1560,4500,82,51,2.0,2.0,101397,78,12.771386454580236
267,437000,3,2.5,1750,22357,2.0,0,0,3,8,1750,0,21,2430,22357,0,51,2.0,2.0,70471,21,12.987688474077725
268,650000,3,3.25,1510,2000,2.0,0,0,3,9,1330,180,14,1510,1352,51,33,1.0,1.0,106319,14,13.38472764187182
269,450000,3,2.0,1290,1213,3.0,0,0,3,8,1290,0,14,1290,3235,88,61,3.0,3.0,65625,14,13.017002861746507
270,278500,3,2.0,1570,5250,1.0,0,0,3,7,1570,0,17,1570,5250,12,32,3.0,3.0,71083,17,12.537173338349474
278,625000,3,1.75,1600,9135,1.0,0,0,5,7,1600,0,60,1580,9800,15,42,2.0,2.0,83712,60,13.345506928718539
279,375000,2,1.0,940,5120,1.0,0,0,3,7,940,0,106,1300,5120,83,74,3.0,3.0,56700,106,12.834681304952548
284,1000000,4,2.5,2610,3277,1.5,0,0,5,8,1920,690,93,1810,3277,88,62,2.0,2.0,99083,93,13.815510557964275
285,525000,4,2.5,2450,5280,2.0,0,0,3,8,2450,0,12,2300,4674,14,23,2.0,2.0,73456,12,13.17115354157376
289,438000,2,2.0,1270,1372,3.0,0,0,3,8,1270,0,15,1610,3090,90,57,3.0,3.0,65172,15,12.989974189358584
290,578000,3,1.75,2120,10875,1.0,0,2,3,8,1540,580,38,2460,11760,7,35,3.0,3.0,110060,38,13.267329147654516
291,227950,3,1.5,1670,8230,1.0,0,0,5,7,1670,0,61,2077,4910,27,57,3.0,3.0,54315,61,12.336881585641587
292,196000,3,2.25,2070,11576,2.0,0,0,3,7,2070,0,41,1890,7519,21,24,3.0,3.0,74350,41,12.185869938212655
293,350000,3,1.5,1250,219978,1.0,0,0,4,6,1250,0,35,1930,210394,0,0,1.0,1.0,83750,35,12.765688433465595
308,465000,3,1.75,1480,6360,1.0,0,0,3,7,1480,0,61,1480,6360,51,51,2.0,2.0,32472,61,13.049792684569493
309,325000,4,2.5,1850,7324,2.0,0,0,3,8,1850,0,18,2100,7329,25,51,2.0,2.0,74239,18,12.691580461311874
313,1199000,4,2.75,4110,8400,2.0,0,1,3,9,3130,980,87,2820,8400,37,50,2.0,2.0,125109,2,13.996998434009653
314,1150000,4,3.25,4190,10259,2.0,0,0,3,11,3150,1040,15,4300,11919,3,18,2.0,2.0,164599,15,13.955272500339431
316,460000,3,2.5,1610,2527,2.0,0,2,3,9,1080,530,10,1610,4173,84,63,4.0,4.0,59275,10,13.038981768465275
317,315000,2,1.0,630,6550,1.0,0,0,3,5,630,0,97,1420,6550,75,51,1.0,1.0,90208,97,12.66032791780777
322,525000,3,1.5,1350,6000,1.0,0,2,3,7,900,450,65,1730,6012,42,45,2.0,2.0,102500,65,13.17115354157376
326,207950,2,2.0,890,5000,1.0,0,0,3,6,890,0,98,1860,5000,55,48,3.0,3.0,38846,98,12.245052945171055
333,490000,2,2.5,1230,1391,2.0,0,0,3,8,870,360,11,1240,1350,86,63,2.0,2.0,104632,11,13.102160670086805
334,725000,4,2.0,2110,4140,2.0,0,0,3,9,1710,400,90,1440,4420,89,43,2.0,2.0,77808,12,13.493926933836812
336,625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,115,1590,4025,53,39,1.0,1.0,77808,115,13.345506928718539
337,475000,2,1.0,1490,3825,1.0,0,0,3,7,860,630,86,1460,3825,80,49,2.0,2.0,90789,86,13.071070083016776
342,529000,3,1.0,1210,3328,1.5,0,0,4,7,1210,0,91,1640,3333,70,54,1.0,1.0,97500,91,13.178743710840434
343,442000,3,1.0,1190,5100,1.0,0,0,4,7,1030,160,74,1690,5100,62,48,1.0,1.0,102500,74,12.999065161059836
344,615000,2,1.0,1540,6872,1.0,0,0,4,7,820,720,69,1420,5538,61,58,2.0,2.0,87667,69,13.329377546788654
350,615000,3,1.75,1900,5000,1.0,0,0,5,7,950,950,64,1770,5000,71,38,1.0,1.0,106319,64,13.329377546788654
355,275000,2,1.0,940,5000,1.0,0,0,3,6,940,0,64,940,5000,77,54,2.0,2.0,47701,64,12.524526376648707
357,365000,4,1.0,1590,7085,1.5,0,0,3,6,1590,0,71,1320,7085,64,51,2.0,2.0,56208,71,12.807652632564631
364,595000,2,2.0,1510,4000,1.0,0,0,4,7,1010,500,115,1920,4000,89,64,3.0,3.0,65625,115,13.296316684527767
370,259950,2,2.0,1070,649,2.0,0,0,3,9,720,350,7,1070,928,85,56,4.0,4.0,47701,7,12.46824458381186
373,1450000,3,3.0,4380,6320,2.0,0,3,5,10,3580,800,63,3080,7680,40,33,1.0,1.0,157292,63,14.187074114396758
374,451000,3,1.75,1790,9813,2.0,0,0,3,7,1790,0,66,1520,10125,34,33,1.0,1.0,66786,66,13.019222618484815
379,880000,3,2.5,2870,5163,2.0,0,0,3,9,2870,0,1,1630,7995,85,55,3.0,3.0,65188,1,13.687677186454387
382,260000,3,1.0,1180,5350,1.5,0,0,4,6,1180,0,56,1490,5350,26,47,2.0,2.0,71524,56,12.468436909997664
384,610000,3,1.0,1180,3400,1.5,0,0,3,8,1180,0,108,1440,3400,90,64,2.0,2.0,98750,108,13.321214236149494
386,442000,5,3.0,2560,5445,1.5,0,0,4,7,1760,800,88,1080,5445,76,51,4.0,4.0,79432,88,12.999065161059836
387,650000,5,2.75,2550,5040,1.5,0,0,5,8,2550,0,113,1590,3840,87,63,3.0,3.0,104632,113,13.38472764187182
388,263500,3,1.75,1330,9917,1.0,0,0,3,7,1040,290,34,1330,9081,43,29,3.0,3.0,71225,34,12.481808646963556
393,730000,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,74,2130,4920,60,35,1.0,1.0,82333,74,13.500799813124573
396,640000,3,2.5,2160,4000,1.5,0,0,3,8,1960,200,112,2160,5120,76,76,3.0,3.0,56700,2,13.369223455335856
399,685000,3,2.0,2060,2900,1.5,0,0,5,8,1330,730,84,1910,3900,54,61,2.0,2.0,81676,84,13.437174117244362
410,531000,2,3.0,1270,1175,2.0,0,0,3,8,1110,160,15,1290,1800,91,58,3.0,3.0,65625,15,13.182517300224076
411,340000,2,2.5,1100,1760,3.0,0,0,3,7,1100,0,18,1200,1415,75,57,3.0,3.0,65188,18,12.736700896592346
412,650000,3,2.0,1870,3388,1.0,0,0,4,8,1230,640,90,1780,4050,74,41,1.0,1.0,157292,90,13.38472764187182
415,425000,3,2.25,1820,8814,1.0,0,0,3,7,1280,540,48,1810,7515,77,58,3.0,3.0,51741,48,12.959844447906553
420,577000,3,2.5,2060,5750,1.0,0,0,3,7,1330,730,39,1920,5750,83,50,1.0,1.0,106319,39,13.265597545490234
422,605000,2,1.75,1760,5000,1.0,0,0,4,7,940,820,88,1530,5000,75,51,2.0,2.0,90789,88,13.312983737012978
423,325000,3,1.0,990,6750,1.0,0,0,4,6,990,0,68,1440,6860,62,57,2.0,2.0,31863,68,12.691580461311874
425,559950,3,2.5,1660,1458,3.0,0,0,3,9,1660,0,1,1660,1784,75,71,2.0,2.0,47737,1,13.235602773010841
426,1042500,3,1.75,1900,9375,1.0,0,1,4,8,1330,570,74,2760,9375,38,46,1.0,1.0,75714,74,13.857132232655092
427,543500,3,2.25,1270,2790,1.0,0,0,3,7,990,280,45,1920,4000,67,45,1.0,1.0,66563,45,13.205784985543401
430,542000,2,1.0,890,3060,1.0,0,0,3,7,770,120,105,1760,4080,75,68,2.0,2.0,88914,105,13.203021280421787
434,1120000,3,1.5,3000,5750,2.0,0,0,5,9,2000,1000,91,1820,5750,85,43,2.0,2.0,77808,91,13.928839243271275
435,378000,2,2.0,1300,3850,1.0,0,0,3,7,800,500,52,950,5500,76,49,1.0,1.0,102500,52,12.842649474601725
438,729500,3,2.5,1660,1091,3.0,0,1,3,9,1530,130,0,1510,1352,50,34,1.0,1.0,106319,0,13.500114646944976
440,530000,3,1.75,1320,2500,1.0,0,0,3,7,870,450,97,1580,2750,84,68,2.0,2.0,64797,97,13.180632285528304
444,597500,3,2.0,2150,5400,1.5,0,0,4,7,1380,770,104,1940,6500,59,52,1.0,1.0,66794,104,13.300509562787802
446,495000,3,1.0,990,6000,1.0,0,0,3,6,990,0,72,1250,6000,46,46,1.0,1.0,132917,72,13.112313041550827
450,312000,3,1.5,1255,1374,3.0,0,0,3,7,1255,0,11,1307,1232,84,55,3.0,3.0,51741,11,12.65075846679162
452,655000,4,2.5,2630,4000,3.0,0,0,3,8,2630,0,13,1640,4000,82,53,2.0,2.0,96193,13,13.392390514617391
454,1250000,4,3.25,3160,5000,2.0,0,0,5,9,2360,800,50,2220,4000,46,48,1.0,1.0,132917,50,14.038654109278484
455,435000,4,2.5,1700,6380,1.0,0,0,4,7,850,850,75,1380,6380,68,61,1.0,1.0,61391,75,12.983101310070822
457,865000,4,1.75,1800,4180,2.0,0,3,4,8,1800,0,94,2180,4620,70,74,3.0,3.0,76980,94,13.670484785914017
460,188000,2,1.5,1120,17487,1.0,0,0,3,6,1120,0,91,1690,8056,15,38,3.0,3.0,71524,91,12.144197241812089
461,478500,3,1.0,2090,4755,1.0,0,2,3,8,1200,890,46,1850,5300,43,46,2.0,2.0,102500,46,13.078411489875146
464,413000,4,3.5,2380,5809,2.0,0,0,4,7,1750,630,20,1620,5775,31,42,2.0,2.0,74107,20,12.931202871943169
465,400000,4,1.0,1420,4875,1.5,0,0,3,7,1420,0,85,1110,5413,70,61,1.0,1.0,61391,85,12.89921982609012
468,387500,3,1.0,1220,8329,1.0,0,0,3,6,1220,0,69,1490,8322,55,48,2.0,2.0,85759,69,12.867471127775538
469,396000,3,1.0,1500,12616,1.0,0,0,3,7,1500,0,48,1820,13950,4,48,2.0,2.0,121402,48,12.889169490236617
472,410000,2,1.0,800,4342,1.0,0,0,3,6,670,130,88,1210,4343,63,62,1.0,1.0,80400,88,12.923912438680489
478,795000,2,1.0,1380,5000,1.5,0,2,3,5,1380,0,110,1500,5000,33,53,1.0,1.0,67277,110,13.58609739363647
479,195000,2,1.0,820,5100,1.0,0,0,3,6,820,0,62,1170,5304,65,48,3.0,3.0,38846,62,12.180754837545884
481,485000,4,2.0,1400,3600,1.0,0,0,3,7,1100,300,115,1630,2048,82,60,2.0,2.0,100172,115,13.09190416991962
488,452000,6,2.25,2660,13579,2.0,0,0,3,7,2660,0,78,1120,8242,32,51,3.0,3.0,87222,25,13.021437458814368
489,730000,6,2.25,2660,13579,2.0,0,0,3,7,2660,0,78,1120,8242,32,51,3.0,3.0,87222,25,13.500799813124573
490,267000,3,2.0,1300,9644,1.0,0,0,3,7,1300,0,21,1430,9656,20,51,3.0,3.0,82067,21,12.495003937382386
491,289950,3,2.5,1670,6186,2.0,0,0,3,7,1670,0,13,2390,6924,40,51,3.0,3.0,106957,13,12.577463773304586
492,565000,2,1.0,960,4080,1.0,0,0,5,7,960,0,104,1300,4080,86,53,2.0,2.0,90568,104,13.244581010128574
493,636000,3,2.5,2140,2770,2.0,0,0,3,8,1770,370,8,2510,2708,38,51,2.0,2.0,101184,8,13.36295384232226
496,245000,2,1.0,1050,5900,1.0,0,0,3,7,1050,0,65,1280,5900,54,47,2.0,2.0,75123,65,12.409013489526865
500,588000,3,1.0,1910,8167,1.0,0,0,4,8,1270,640,64,1500,6816,65,53,2.0,2.0,72428,64,13.284482226880765
502,1300000,3,3.25,3400,5979,2.0,0,0,4,9,2290,1110,78,3090,6435,37,47,1.0,1.0,132917,78,14.077874822431765
505,459000,2,1.75,1170,4887,1.0,0,0,3,6,1020,150,86,1170,5441,73,56,2.0,2.0,62786,86,13.036805489042685
508,395000,3,1.0,1500,4000,1.0,0,0,3,6,900,600,90,950,4000,79,51,2.0,2.0,96193,90,12.886641043883259
510,650000,4,1.75,2010,5070,1.0,0,1,4,7,1300,710,52,2180,5400,62,35,1.0,1.0,82333,52,13.38472764187182
513,447000,3,1.0,1370,6001,1.0,0,0,5,7,1230,140,71,1370,5520,57,54,2.0,2.0,51316,71,13.010313873595704
514,850000,3,1.75,1370,3850,1.0,0,0,5,7,770,600,104,1390,3600,81,33,1.0,1.0,132000,27,13.652991628466498
516,1310000,2,2.25,3950,3938,2.0,0,4,3,10,2910,1040,24,3220,4500,44,35,1.0,1.0,77808,24,14.085537695177337
517,405600,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,97,1480,4000,58,47,3.0,3.0,71524,97,12.91312273125911
519,400000,3,2.25,1190,1149,2.0,0,0,3,8,1050,140,7,1210,1316,91,43,2.0,2.0,77808,7,12.89921982609012
524,760000,4,2.5,2430,6099,1.0,0,0,5,8,1470,960,50,2180,6099,77,41,1.0,1.0,110458,50,13.541073712262516
529,450000,2,2.0,1100,3000,1.5,0,0,3,7,1100,0,103,1390,4000,78,49,2.0,2.0,97500,10,13.017002861746507
533,493000,4,2.0,1910,2874,1.0,0,0,3,7,1060,850,105,1520,2874,87,59,3.0,3.0,76524,105,13.108264453024828
535,305000,3,1.0,1250,23680,1.0,0,0,5,7,1250,0,48,1450,23680,11,18,1.0,1.0,87014,48,12.628067055589547
536,400000,3,1.75,1590,8219,1.5,0,0,5,6,970,620,77,2030,7504,36,37,1.0,1.0,121759,77,12.89921982609012
537,715000,4,1.0,2000,4800,2.0,0,0,4,7,2000,0,104,1260,1452,82,65,2.0,2.0,71809,104,13.480037821676145
539,500000,2,1.0,1280,5400,1.0,0,0,3,7,1280,0,51,1540,5670,78,53,2.0,2.0,62786,51,13.122363377404328
540,460000,4,2.0,2090,40419,1.0,0,0,4,7,2090,0,31,2380,63162,0,0,2.0,2.0,98750,31,13.038981768465275
542,408200,3,2.5,1800,5761,2.0,0,0,4,7,1800,0,25,1800,5952,54,54,3.0,3.0,54622,25,12.919512529357881
550,650000,3,2.0,1340,2720,1.5,0,0,3,7,1340,0,102,2030,4590,84,58,2.0,2.0,84728,102,13.38472764187182
551,1216000,4,2.5,3190,8684,1.0,0,3,5,9,1680,1510,48,3160,8684,6,37,2.0,2.0,135625,48,14.01107734150825
554,385200,4,1.0,1550,7740,1.5,0,0,3,6,1550,0,61,1220,7740,77,55,3.0,3.0,75123,61,12.861517958906107
