,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,log_price
91,1099880,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,2520,6250,60,44,A,A,66563,13.910711640908662
93,430000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,1570,4500,82,51,A,B,101397,12.971540487669746
94,700000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,1570,4500,82,51,A,B,101397,13.458835614025542
100,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,2200,4500,54,62,A,B,76980,13.653967622617456
101,555000,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,1610,3478,81,48,A,B,85595,13.226723392728571
106,460000,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,1240,4005,85,53,B,B,90789,13.038981768465277
111,570000,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,1380,3536,85,50,B,A,90568,13.253391639810733
115,740500,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117,1830,6350,82,52,B,B,62786,13.51508091268999
116,518500,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,1620,3166,85,51,B,B,90568,13.158695306651719
117,205425,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,1190,6780,30,44,A,A,71524,12.232836282799388
119,535000,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,1610,4040,55,63,B,B,81676,13.190022025878143
122,395000,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,1710,6000,78,54,B,B,62786,12.886641043883259
123,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,1850,4400,81,48,D,D,38846,13.005829561148378
128,822500,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,1700,4960,83,47,A,B,81563,13.620103761621664
134,675000,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,1540,2285,89,53,B,B,85595,13.422467969854667
138,382500,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,1060,5715,40,53,A,C,87222,12.854483932248728
139,519950,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,1350,1310,93,54,C,B,72396,13.161487932088379
143,420000,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,1560,7940,48,52,B,C,62726,12.948009990259552
146,890000,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,2200,4000,90,65,B,B,98750,13.698976741708323
150,532170,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,98103,1500,3090,92,50,B,A,90568,13.184718266151094
154,350000,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115,1010,5100,66,55,A,B,96310,12.765688433465597
175,425000,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122,1590,1795,93,71,C,C,57786,12.959844447906553
176,399950,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144,1280,2150,76,71,C,C,47737,12.899094818276968
177,385000,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122,1200,4800,87,68,C,C,56700,12.86099861326992
181,470000,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,1410,5375,70,48,B,A,48036,13.060487973686241
188,615000,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,1330,4400,89,60,B,B,84728,13.329377546788654
189,585188,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,98052,2230,9340,25,41,B,B,104072,13.27968844210788
202,470000,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,98107,1680,5000,72,47,A,B,79681,13.060487973686241
207,425000,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,98116,1290,5000,65,50,A,A,71705,12.959844447906553
209,464000,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994,98133,1560,1312,81,59,D,C,56744,13.047639831208393
214,477000,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0,98118,2130,8700,56,51,B,B,61901,13.075271769870477
218,1072000,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,1947,0,98144,2580,5184,50,59,B,C,81676,13.885036620612885
225,390000,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,0,98146,1280,7392,57,51,B,B,83421,12.873902018105829
237,410000,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,98122,1510,4740,87,66,C,C,57786,12.92391243868049
241,210000,2,1.0,830,6000,1.0,0,0,3,6,830,0,1940,0,98126,830,4960,57,48,A,B,75123,12.254862809699606
242,455000,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,1925,0,98115,1450,3750,74,57,B,A,64797,13.028052697933088
244,480000,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1918,0,98103,1390,3060,84,46,A,A,81563,13.081541382884074
247,181000,2,1.5,720,5120,1.0,0,0,3,6,720,0,1954,0,98106,1150,2566,85,56,D,D,47701,12.106252310247962
249,481000,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1918,0,98103,1390,3000,83,52,C,B,90568,13.083622549087899
253,349500,3,1.0,1400,3538,1.0,0,0,3,7,800,600,1953,0,98118,1620,6331,61,59,D,D,61901,12.764258840656002
255,592500,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,1928,0,98115,1420,6816,66,62,A,A,61391,13.292106151991423
256,385000,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1955,0,98106,1910,7620,43,44,B,C,47363,12.86099861326992
260,780000,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1911,0,98112,1660,4400,57,60,A,B,131429,13.567049198665774
263,425000,2,1.0,770,5040,1.0,0,0,3,5,770,0,1930,0,98144,1330,2580,80,61,D,B,79953,12.959844447906553
266,285000,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1954,0,98106,1130,6350,29,41,B,B,74107,12.560244459250788
267,415000,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,1937,0,98115,1320,4465,77,49,A,B,110458,12.936033799212835
271,436000,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,1939,0,98133,1440,7530,55,53,B,B,72428,12.985397522331171
273,236000,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961,0,98178,1320,7619,42,47,B,B,71524,12.371587084007746
274,331000,3,1.75,1080,1306,1.0,0,0,3,7,580,500,1954,2003,98199,1440,2225,63,42,A,B,90951,12.7098736543592
275,365000,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2006,0,98031,2653,4927,3,11,A,B,83750,12.80765263256463
279,405000,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,1908,0,98118,2020,6000,62,56,D,D,61901,12.911642346088676
294,550000,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,1929,0,98126,2390,4166,61,55,A,A,67277,13.217673557208654
298,404000,3,1.5,2030,8880,1.0,0,0,3,7,1330,700,1963,0,98108,2140,5592,60,52,B,C,79432,12.909170156943286
302,576000,3,2.5,1940,9000,1.0,0,0,4,7,970,970,1948,0,98117,2190,7310,48,46,B,A,95927,13.263862939678027
305,725000,3,1.75,1920,3300,1.0,0,0,4,8,960,960,1913,0,98112,1740,4000,79,57,B,B,104632,13.493926933836812
308,550700,2,1.0,1010,5000,1.5,0,0,4,6,1010,0,1908,0,98105,1460,5000,87,63,B,A,64797,13.218945475250573
318,548000,2,1.0,1470,3864,1.0,0,0,4,7,1170,300,1916,0,98103,1570,3864,82,59,B,C,65625,13.214030565930152
327,740000,4,2.0,2050,4400,1.5,0,0,4,9,2050,0,1922,0,98102,2320,5500,79,67,A,C,76980,13.514405465180353
330,880000,4,3.5,2800,6750,2.0,0,0,3,9,1890,910,1951,2002,98105,2370,6120,69,55,A,A,110091,13.687677186454389
333,640000,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,1924,0,98103,1710,5000,81,61,A,B,113906,13.369223455335854
334,940000,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,1968,0,98040,2770,9525,16,22,A,B,167361,13.753635154246187
337,791500,4,2.0,1510,3500,1.5,0,0,5,7,1510,0,1911,0,98103,1820,3750,87,45,A,A,103750,13.581685158303204
342,425000,3,1.75,2500,6840,1.0,0,0,3,8,1300,1200,1957,0,98125,1580,8691,62,49,B,C,56208,12.959844447906553
353,437500,2,1.0,990,3120,1.0,0,2,5,7,790,200,1907,0,98103,1930,3120,89,48,A,A,90568,12.988831984779805
355,375000,4,1.75,2200,7475,1.0,0,0,5,7,1100,1100,1955,0,98118,1600,5766,80,65,C,C,52412,12.834681304952548
359,679900,3,2.5,2440,5750,2.0,0,2,3,9,1980,460,2000,0,98116,1520,5750,89,54,C,B,71705,13.42970100751455
376,450000,3,1.75,1640,13500,1.0,0,0,3,7,1110,530,1940,0,98125,1770,12600,70,59,B,B,51741,13.017002861746503
390,345000,4,1.0,1550,7620,1.5,0,0,3,7,1550,0,1957,0,98106,1450,7620,52,47,B,C,47363,12.751299696013497
398,378750,3,2.5,2160,3000,1.5,0,0,3,7,1260,900,1909,2011,98118,1060,3500,84,62,D,D,59275,12.844631635805715
400,557000,3,3.5,1710,2096,2.0,0,0,3,8,1290,420,2008,0,98122,1630,1543,84,73,C,D,56700,13.230320518909421
401,360000,4,1.75,3730,16980,1.0,0,0,4,7,2150,1580,1974,0,98022,1880,16963,19,73,C,D,48385,12.793859310432293
402,352000,2,1.0,940,5000,1.0,0,0,4,7,940,0,1937,0,98117,1560,4500,82,51,A,B,101397,12.771386454580234
403,437000,3,2.5,1750,22357,2.0,0,0,3,8,1750,0,1994,0,98045,2430,22357,0,51,A,B,70471,12.987688474077727
405,650000,3,3.25,1510,2000,2.0,0,0,3,9,1330,180,2001,0,98116,1510,1352,51,33,C,A,106319,13.38472764187182
406,450000,3,2.0,1290,1213,3.0,0,0,3,8,1290,0,2001,0,98103,1290,3235,88,61,B,C,65625,13.017002861746503
407,278500,3,2.0,1570,5250,1.0,0,0,3,7,1570,0,1998,0,98092,1570,5250,12,32,B,C,71083,12.537173338349476
421,625000,3,1.75,1600,9135,1.0,0,0,5,7,1600,0,1955,0,98006,1580,9800,15,42,B,B,83712,13.345506928718539
424,375000,2,1.0,940,5120,1.0,0,0,3,7,940,0,1909,0,98122,1300,5120,83,74,C,C,56700,12.834681304952548
432,1000000,4,2.5,2610,3277,1.5,0,0,5,8,1920,690,1922,0,98103,1810,3277,88,62,B,B,99083,13.815510557964274
434,525000,4,2.5,2450,5280,2.0,0,0,3,8,2450,0,2003,0,98011,2300,4674,14,23,B,B,73456,13.17115354157376
438,438000,2,2.0,1270,1372,3.0,0,0,3,8,1270,0,2000,0,98115,1610,3090,90,57,B,C,65172,12.989974189358584
439,578000,3,1.75,2120,10875,1.0,0,2,3,8,1540,580,1977,0,98146,2460,11760,7,35,B,C,110060,13.267329147654515
440,227950,3,1.5,1670,8230,1.0,0,0,5,7,1670,0,1954,0,98001,2077,4910,27,57,B,C,54315,12.336881585641587
441,196000,3,2.25,2070,11576,2.0,0,0,3,7,2070,0,1974,0,98001,1890,7519,21,24,B,C,74350,12.185869938212655
443,350000,3,1.5,1250,219978,1.0,0,0,4,6,1250,0,1980,0,98038,1930,210394,0,0,A,A,83750,12.765688433465597
466,465000,3,1.75,1480,6360,1.0,0,0,3,7,1480,0,1954,0,98133,1480,6360,51,51,B,B,32472,13.049792684569493
467,325000,4,2.5,1850,7324,2.0,0,0,3,8,1850,0,1997,0,98042,2100,7329,25,51,B,B,74239,12.691580461311874
472,1199000,4,2.75,4110,8400,2.0,0,1,3,9,3130,980,1928,2013,98125,2820,8400,37,50,A,B,125109,13.996998434009651
473,1150000,4,3.25,4190,10259,2.0,0,0,3,11,3150,1040,2000,0,98074,4300,11919,3,18,A,B,164599,13.955272500339433
476,460000,3,2.5,1610,2527,2.0,0,2,3,9,1080,530,2005,0,98118,1610,4173,84,63,C,D,59275,13.038981768465277
478,315000,2,1.0,630,6550,1.0,0,0,3,5,630,0,1918,0,98126,1420,6550,75,51,B,A,90208,12.66032791780777
483,525000,3,1.5,1350,6000,1.0,0,2,3,7,900,450,1950,0,98136,1730,6012,42,45,B,B,102500,13.17115354157376
487,207950,2,2.0,890,5000,1.0,0,0,3,6,890,0,1917,0,98118,1860,5000,55,48,D,C,38846,12.245052945171057
495,490000,2,2.5,1230,1391,2.0,0,0,3,8,870,360,2004,0,98112,1240,1350,86,63,B,B,104632,13.102160670086809
496,725000,4,2.0,2110,4140,2.0,0,0,3,9,1710,400,1925,2003,98116,1440,4420,89,43,B,B,77808,13.493926933836812
498,625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,1900,0,98116,1590,4025,53,39,B,A,77808,13.345506928718539
501,475000,2,1.0,1490,3825,1.0,0,0,3,7,860,630,1929,0,98117,1460,3825,80,49,A,B,90789,13.071070083016778
506,529000,3,1.0,1210,3328,1.5,0,0,4,7,1210,0,1924,0,98107,1640,3333,70,54,A,A,97500,13.178743710840436
507,442000,3,1.0,1190,5100,1.0,0,0,4,7,1030,160,1941,0,98136,1690,5100,62,48,A,A,102500,12.999065161059836
508,615000,2,1.0,1540,6872,1.0,0,0,4,7,820,720,1946,0,98119,1420,5538,61,58,B,B,87667,13.329377546788654
514,615000,3,1.75,1900,5000,1.0,0,0,5,7,950,950,1951,0,98116,1770,5000,71,38,B,A,106319,13.329377546788654
524,275000,2,1.0,940,5000,1.0,0,0,3,6,940,0,1951,0,98126,940,5000,77,54,C,B,47701,12.524526376648708
528,365000,4,1.0,1590,7085,1.5,0,0,3,6,1590,0,1944,0,98125,1320,7085,64,51,B,B,56208,12.80765263256463
537,595000,2,2.0,1510,4000,1.0,0,0,4,7,1010,500,1900,0,98103,1920,4000,89,64,B,C,65625,13.296316684527767
547,259950,2,2.0,1070,649,2.0,0,0,3,9,720,350,2008,0,98106,1070,928,85,56,D,D,47701,12.468244583811861
551,1450000,3,3.0,4380,6320,2.0,0,3,5,10,3580,800,1952,0,98199,3080,7680,40,33,A,A,157292,14.187074114396758
552,451000,3,1.75,1790,9813,2.0,0,0,3,7,1790,0,1949,0,98155,1520,10125,34,33,A,A,66786,13.019222618484815
562,880000,3,2.5,2870,5163,2.0,0,0,3,9,2870,0,2014,0,98103,1630,7995,85,55,C,C,65188,13.687677186454389
566,260000,3,1.0,1180,5350,1.5,0,0,4,6,1180,0,1959,0,98178,1490,5350,26,47,B,B,71524,12.468436909997665
568,610000,3,1.0,1180,3400,1.5,0,0,3,8,1180,0,1907,0,98109,1440,3400,90,64,B,B,98750,13.321214236149494
572,442000,5,3.0,2560,5445,1.5,0,0,4,7,1760,800,1927,0,98108,1080,5445,76,51,B,D,79432,12.999065161059836
573,650000,5,2.75,2550,5040,1.5,0,0,5,8,2550,0,1902,0,98122,1590,3840,87,63,C,C,104632,13.38472764187182
574,263500,3,1.75,1330,9917,1.0,0,0,3,7,1040,290,1981,0,98058,1330,9081,43,29,C,C,71225,12.481808646963554
582,730000,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,98116,2130,4920,60,35,B,A,82333,13.500799813124575
586,640000,3,2.5,2160,4000,1.5,0,0,3,8,1960,200,1903,2013,98122,2160,5120,76,76,C,C,56700,13.369223455335854
589,685000,3,2.0,2060,2900,1.5,0,0,5,8,1330,730,1931,0,98144,1910,3900,54,61,B,B,81676,13.437174117244362
606,531000,2,3.0,1270,1175,2.0,0,0,3,8,1110,160,2000,0,98103,1290,1800,91,58,B,C,65625,13.182517300224076
610,340000,2,2.5,1100,1760,3.0,0,0,3,7,1100,0,1997,0,98103,1200,1415,75,57,B,C,65188,12.736700896592344
611,650000,3,2.0,1870,3388,1.0,0,0,4,8,1230,640,1925,0,98199,1780,4050,74,41,A,A,157292,13.38472764187182
615,425000,3,2.25,1820,8814,1.0,0,0,3,7,1280,540,1967,0,98125,1810,7515,77,58,C,C,51741,12.959844447906553
621,577000,3,2.5,2060,5750,1.0,0,0,3,7,1330,730,1976,0,98116,1920,5750,83,50,B,A,106319,13.265597545490236
623,605000,2,1.75,1760,5000,1.0,0,0,4,7,940,820,1927,0,98117,1530,5000,75,51,A,B,90789,13.312983737012978
624,325000,3,1.0,990,6750,1.0,0,0,4,6,990,0,1947,0,98133,1440,6860,62,57,B,B,31863,12.691580461311874
626,559950,3,2.5,1660,1458,3.0,0,0,3,9,1660,0,2014,0,98144,1660,1784,75,71,B,B,47737,13.23560277301084
627,1042500,3,1.75,1900,9375,1.0,0,1,4,8,1330,570,1941,0,98115,2760,9375,38,46,A,A,75714,13.857132232655093
628,543500,3,2.25,1270,2790,1.0,0,0,3,7,990,280,1970,0,98199,1920,4000,67,45,A,A,66563,13.205784985543401
634,542000,2,1.0,890,3060,1.0,0,0,3,7,770,120,1910,0,98105,1760,4080,75,68,B,B,88914,13.203021280421783
639,1120000,3,1.5,3000,5750,2.0,0,0,5,9,2000,1000,1924,0,98116,1820,5750,85,43,B,B,77808,13.928839243271277
640,378000,2,2.0,1300,3850,1.0,0,0,3,7,800,500,1963,0,98136,950,5500,76,49,A,A,102500,12.842649474601725
643,729500,3,2.5,1660,1091,3.0,0,1,3,9,1530,130,2015,0,98116,1510,1352,50,34,C,A,106319,13.500114646944978
647,530000,3,1.75,1320,2500,1.0,0,0,3,7,870,450,1918,0,98105,1580,2750,84,68,B,B,64797,13.180632285528304
653,597500,3,2.0,2150,5400,1.5,0,0,4,7,1380,770,1911,0,98126,1940,6500,59,52,B,A,66794,13.300509562787802
657,495000,3,1.0,990,6000,1.0,0,0,3,6,990,0,1943,0,98105,1250,6000,46,46,A,A,132917,13.112313041550827
663,312000,3,1.5,1255,1374,3.0,0,0,3,7,1255,0,2004,0,98125,1307,1232,84,55,B,C,51741,12.65075846679162
667,655000,4,2.5,2630,4000,3.0,0,0,3,8,2630,0,2002,0,98117,1640,4000,82,53,C,B,96193,13.39239051461739
669,1250000,4,3.25,3160,5000,2.0,0,0,5,9,2360,800,1965,0,98105,2220,4000,46,48,A,A,132917,14.038654109278484
671,435000,4,2.5,1700,6380,1.0,0,0,4,7,850,850,1940,0,98115,1380,6380,68,61,A,A,61391,12.983101310070822
673,865000,4,1.75,1800,4180,2.0,0,3,4,8,1800,0,1921,0,98102,2180,4620,70,74,A,C,76980,13.670484785914017
677,188000,2,1.5,1120,17487,1.0,0,0,3,6,1120,0,1924,0,98178,1690,8056,15,38,B,C,71524,12.144197241812087
678,478500,3,1.0,2090,4755,1.0,0,2,3,8,1200,890,1969,0,98136,1850,5300,43,46,A,B,102500,13.078411489875146
683,413000,4,3.5,2380,5809,2.0,0,0,4,7,1750,630,1995,0,98106,1620,5775,31,42,B,B,74107,12.931202871943169
684,400000,4,1.0,1420,4875,1.5,0,0,3,7,1420,0,1930,0,98115,1110,5413,70,61,A,A,61391,12.89921982609012
688,387500,3,1.0,1220,8329,1.0,0,0,3,6,1220,0,1946,0,98115,1490,8322,55,48,A,B,85759,12.86747112777554
689,396000,3,1.0,1500,12616,1.0,0,0,3,7,1500,0,1967,0,98072,1820,13950,4,48,A,B,121402,12.889169490236618
693,410000,2,1.0,800,4342,1.0,0,0,3,6,670,130,1927,0,98115,1210,4343,63,62,A,A,80400,12.92391243868049
700,795000,2,1.0,1380,5000,1.5,0,2,3,5,1380,0,1905,0,98106,1500,5000,33,53,B,A,67277,13.58609739363647
701,195000,2,1.0,820,5100,1.0,0,0,3,6,820,0,1953,0,98118,1170,5304,65,48,D,C,38846,12.180754837545884
703,485000,4,2.0,1400,3600,1.0,0,0,3,7,1100,300,1900,0,98119,1630,2048,82,60,B,B,100172,13.091904169919621
717,452000,6,2.25,2660,13579,2.0,0,0,3,7,2660,0,1937,1990,98125,1120,8242,32,51,A,C,87222,13.021437458814368
718,730000,6,2.25,2660,13579,2.0,0,0,3,7,2660,0,1937,1990,98125,1120,8242,32,51,A,C,87222,13.500799813124575
719,267000,3,2.0,1300,9644,1.0,0,0,3,7,1300,0,1994,0,98010,1430,9656,20,51,A,C,82067,12.495003937382387
720,289950,3,2.5,1670,6186,2.0,0,0,3,7,1670,0,2002,0,98038,2390,6924,40,51,A,C,106957,12.577463773304586
721,565000,2,1.0,960,4080,1.0,0,0,5,7,960,0,1911,0,98103,1300,4080,86,53,B,B,90568,13.244581010128577
723,636000,3,2.5,2140,2770,2.0,0,0,3,8,1770,370,2007,0,98052,2510,2708,38,51,B,B,101184,13.36295384232226
727,245000,2,1.0,1050,5900,1.0,0,0,3,7,1050,0,1950,0,98126,1280,5900,54,47,B,B,75123,12.409013489526863
736,588000,3,1.0,1910,8167,1.0,0,0,4,8,1270,640,1951,0,98117,1500,6816,65,53,B,B,72428,13.284482226880764
738,1300000,3,3.25,3400,5979,2.0,0,0,4,9,2290,1110,1937,0,98105,3090,6435,37,47,A,A,132917,14.077874822431765
741,459000,2,1.75,1170,4887,1.0,0,0,3,6,1020,150,1929,0,98117,1170,5441,73,56,B,B,62786,13.036805489042683
744,395000,3,1.0,1500,4000,1.0,0,0,3,6,900,600,1925,0,98117,950,4000,79,51,C,B,96193,12.886641043883259
746,650000,4,1.75,2010,5070,1.0,0,1,4,7,1300,710,1963,0,98116,2180,5400,62,35,C,A,82333,13.38472764187182
752,447000,3,1.0,1370,6001,1.0,0,0,5,7,1230,140,1944,0,98108,1370,5520,57,54,B,B,51316,13.010313873595706
754,850000,3,1.75,1370,3850,1.0,0,0,5,7,770,600,1911,1988,98112,1390,3600,81,33,A,A,132000,13.652991628466498
757,1310000,2,2.25,3950,3938,2.0,0,4,3,10,2910,1040,1991,0,98116,3220,4500,44,35,B,A,77808,14.085537695177335
759,405600,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,1918,0,98118,1480,4000,58,47,C,C,71524,12.91312273125911
761,400000,3,2.25,1190,1149,2.0,0,0,3,8,1050,140,2008,0,98116,1210,1316,91,43,C,B,77808,12.89921982609012
768,760000,4,2.5,2430,6099,1.0,0,0,5,8,1470,960,1965,0,98115,2180,6099,77,41,A,A,110458,13.541073712262515
773,450000,2,2.0,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,98117,1390,4000,78,49,A,B,97500,13.017002861746503
777,493000,4,2.0,1910,2874,1.0,0,0,3,7,1060,850,1910,0,98122,1520,2874,87,59,C,C,76524,13.108264453024827
780,305000,3,1.0,1250,23680,1.0,0,0,5,7,1250,0,1967,0,98059,1450,23680,11,18,A,A,87014,12.628067055589549
781,400000,3,1.75,1590,8219,1.5,0,0,5,6,970,620,1938,0,98034,2030,7504,36,37,A,A,121759,12.89921982609012
783,715000,4,1.0,2000,4800,2.0,0,0,4,7,2000,0,1911,0,98103,1260,1452,82,65,B,B,71809,13.480037821676145
786,500000,2,1.0,1280,5400,1.0,0,0,3,7,1280,0,1964,0,98117,1540,5670,78,53,B,B,62786,13.122363377404328
787,460000,4,2.0,2090,40419,1.0,0,0,4,7,2090,0,1984,0,98027,2380,63162,0,0,B,B,98750,13.038981768465277
789,408200,3,2.5,1800,5761,2.0,0,0,4,7,1800,0,1990,0,98106,1800,5952,54,54,C,C,54622,12.919512529357881
800,650000,3,2.0,1340,2720,1.5,0,0,3,7,1340,0,1913,0,98103,2030,4590,84,58,B,B,84728,13.38472764187182
801,1216000,4,2.5,3190,8684,1.0,0,3,5,9,1680,1510,1967,0,98006,3160,8684,6,37,B,B,135625,14.01107734150825
